name,links
US Cremonese,https://www.worldfootball.net/teams/us-cremonese/
CD Santa Clara,https://www.worldfootball.net/teams/cd-santa-clara/
Ümraniyespor,https://www.worldfootball.net/teams/uemraniyespor/
Kilmarnock FC,https://www.worldfootball.net/teams/kilmarnock-fc/
PAS Giannina,https://www.worldfootball.net/teams/pas-giannina/
AC Monza,https://www.worldfootball.net/teams/ac-monza/
Kayserispor,https://www.worldfootball.net/teams/kayserispor/
PSV Eindhoven,https://www.worldfootball.net/teams/psv-eindhoven/
Royale Union Saint Gilloise,https://www.worldfootball.net/teams/union-saint-gilloise/
Sint-Truidense VV,https://www.worldfootball.net/teams/sint-truidense-vv/
Rukh Lviv,https://www.worldfootball.net/teams/rukh-lviv/
Ionikos Nikeas,https://www.worldfootball.net/teams/ionikos-nikea/
SC Freiburg,https://www.worldfootball.net/teams/sc-freiburg/
US Sassuolo,https://www.worldfootball.net/teams/sassuolo-calcio/
Fatih Karagümrük,https://www.worldfootball.net/teams/fatih-karaguemruek-sk/
RC Strasbourg Alsace,https://www.worldfootball.net/teams/rc-strasbourg/
KAA Gent,https://www.worldfootball.net/teams/kaa-gent/
FC Utrecht,https://www.worldfootball.net/teams/fc-utrecht/
Konyaspor,https://www.worldfootball.net/teams/konyaspor/
Boavista FC,https://www.worldfootball.net/teams/fc-boavista/
St. Johnstone FC,https://www.worldfootball.net/teams/st-johnstone-fc/
Cádiz CF,https://www.worldfootball.net/teams/cadiz-cf/
Oud-Heverlee Leuven,https://www.worldfootball.net/teams/oud-heverlee-leuven/
FC Nordsjaelland,https://www.worldfootball.net/teams/fc-nordsjaelland/
SV Zulte Waregem,https://www.worldfootball.net/teams/sv-zulte-waregem/
Inter Milan,https://www.worldfootball.net/teams/inter/
FC Pari Nizhniy Novgorod,https://www.worldfootball.net/teams/fk-nizhny-novgorod/
Chelsea FC,https://www.worldfootball.net/teams/chelsea-fc/
Olympiacos Piraeus,https://www.worldfootball.net/teams/olympiakos-piraeus/
SV Werder Bremen,https://www.worldfootball.net/teams/werder-bremen/
FC Midtjylland,https://www.worldfootball.net/teams/fc-midtjylland/
Zorya Lugansk,https://www.worldfootball.net/teams/zorya-lugansk/
LOSC Lille,https://www.worldfootball.net/teams/lille-osc/
FK Krasnodar,https://www.worldfootball.net/teams/fk-krasnodar/
Southampton FC,https://www.worldfootball.net/teams/southampton-fc/
Twente Enschede FC,https://www.worldfootball.net/teams/fc-twente/
Dynamo Kyiv,https://www.worldfootball.net/teams/dinamo-kiev/
Adana Demirspor,https://www.worldfootball.net/teams/adana-demirspor/
Antalyaspor,https://www.worldfootball.net/teams/antalyaspor/
Basaksehir FK,https://www.worldfootball.net/teams/istanbul-basaksehir/
FC Vizela,https://www.worldfootball.net/teams/fc-vizela/1/
Nottingham Forest,https://www.worldfootball.net/teams/nottingham-forest/
Hatayspor,https://www.worldfootball.net/teams/hatayspor/
MKE Ankaragücü,https://www.worldfootball.net/teams/mke-ankaraguecue/
Olympique Lyon,https://www.worldfootball.net/teams/olympique-lyon/
FC Barcelona,https://www.worldfootball.net/teams/fc-barcelona/
FC Schalke 04,https://www.worldfootball.net/teams/fc-schalke-04/
Sporting CP,https://www.worldfootball.net/teams/sporting-cp/
Newcastle United,https://www.worldfootball.net/teams/newcastle-united/
Crystal Palace,https://www.worldfootball.net/teams/crystal-palace/
AFC Bournemouth,https://www.worldfootball.net/teams/afc-bournemouth/
US Lecce,https://www.worldfootball.net/teams/us-lecce/
Bologna FC 1909,https://www.worldfootball.net/teams/bologna-fc/
FK Rostov,https://www.worldfootball.net/teams/fk-rostov/
Ural Yekaterinburg,https://www.worldfootball.net/teams/fk-ural/
KRC Genk,https://www.worldfootball.net/teams/krc-genk/
KAS Eupen,https://www.worldfootball.net/teams/kas-eupen/
GD Estoril Praia,https://www.worldfootball.net/teams/gd-estoril/
RSC Charleroi,https://www.worldfootball.net/teams/sporting-charleroi/
Borussia Mönchengladbach,https://www.worldfootball.net/teams/bor-moenchengladbach/
RKC Waalwijk,https://www.worldfootball.net/teams/rkc-waalwijk/
RB Leipzig,https://www.worldfootball.net/teams/rb-leipzig/
Bayern Munich,https://www.worldfootball.net/teams/bayern-muenchen/
Stade Rennais FC,https://www.worldfootball.net/teams/stade-rennais/
Atromitos Athen,https://www.worldfootball.net/teams/atromitos/
Clermont Foot 63,https://www.worldfootball.net/teams/clermont-foot-63/
1.FSV Mainz 05,https://www.worldfootball.net/teams/1-fsv-mainz-05/
Torino FC,https://www.worldfootball.net/teams/torino-fc/
Aarhus GF,https://www.worldfootball.net/teams/aarhus-gf/
VfL Bochum,https://www.worldfootball.net/teams/vfl-bochum/
Montpellier HSC,https://www.worldfootball.net/teams/montpellier-hsc/
Villarreal CF,https://www.worldfootball.net/teams/villarreal-cf/
Royal Antwerp FC,https://www.worldfootball.net/teams/royal-antwerp-fc/
Torpedo Moscow,https://www.worldfootball.net/teams/torpedo-moskva/
AS Roma,https://www.worldfootball.net/teams/as-roma/
Rangers FC,https://www.worldfootball.net/teams/rangers-fc/
Stade Reims,https://www.worldfootball.net/teams/stade-reims/
Feyenoord Rotterdam,https://www.worldfootball.net/teams/feyenoord/
Eintracht Frankfurt,https://www.worldfootball.net/teams/eintracht-frankfurt/
AEK Athens,https://www.worldfootball.net/teams/aek-athen/
SS Lazio,https://www.worldfootball.net/teams/lazio-roma/
